"SourceFile","RangeStartDate","RangeEndDate","AwardDate","AwardNoticeDate","TenderCaseNo","TenderName","TenderOrgName","TenderOrgAddr","ContactPerson","TenderTel","ProcurementType","ProcurementAttr","TenderAwardWay","TenderAwardPrice","BidderSuppName","BidderSuppAddr","NotObtainSuppName"
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/13","2025/01/17","113386C","國立高科實驗高級中等學校校舍新建工程","高雄市政府","802高雄市苓雅區四維三路2號","葉貝羚","(07)3368333分機2301","公開招標","工程類","最有利標","2380000000","上鋌營造股份有限公司","815高雄市大社區嘉保路360號","興鼎營造股份有限公司"
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/14","2025/01/21","A3E240651","高雄港洲際碼頭機電改善工程","臺灣港務股份有限公司高雄港務分公司","804高雄市鼓山區蓬萊二路1號","工程：詹宗勳/採購：吳祐昀","(07)5622553分機","公開招標","工程類","最有利標","379463490","帆宣系統科技股份有限公司 (Marketech  International  Corp.)","115臺北市南港區園區街3-2號6樓","亞力電機股份有限公司 (ALLIS ELECTRIC CO., LTD.)"
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/02","2025/01/03","113LC0068B","50kg-N型及60E1鋼軌扣夾等2項","國營臺灣鐵路股份有限公司","100臺北市中正區北平西路3號","許先生/洪小姐","(02)23815226分機3702/2118","公開招標","財物類","最低標","44008650","全利興業股份有限公司","820高雄市岡山區本洲路321巷222號","泰元鋼業股份有限公司"
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/02","2025/01/03","D0613Y053","電子發票專用感熱紙捲","台灣中油股份有限公司","110臺北市信義區松仁路3號19樓","簡昭燕","(02)87258333分機","公開招標","財物類","最低標","28014000","五洲事務用品股份有限公司","333桃園市龜山區樂善里文明三街1之3號","利百代國際實業股份有限公司"
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/02","2025/01/03","UM131570","113-116年總分院心血管中心醫材5項單價合約招標案","國立臺灣大學醫學院附設醫院","100臺北市中正區中山南路7號","林沛穎","(02)23123456分機262036","選擇性招標(個案)","財物類","最低標","6796800","壯生醫療器材股份有限公司","104臺北市中山區民生東路3段2號10、11樓",""
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/02","2025/01/03","TM130800","113-115年外科部醫材6項開口合約招標案","國立臺灣大學醫學院附設醫院","100臺北市中正區中山南路7號","陳玲玲","(02)23562039分機","限制性招標(未經公開評選或公開徵求)","財物類","最低標","41952000","博暘科技有限公司 (BARRY TEC ENTERPRISE CO., LTD.)","104臺北市中山區新生北路3段42號2樓",""
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/02","2025/01/06","AD13E24A","生化免疫自動化軌道整合系統相關檢驗試劑(附儀器含保養維護)單價合約","國立臺灣大學醫學院附設醫院癌醫中心分院","106臺北市大安區基隆路三段155巷57號","季佳璇","(02)23220322分機238648","公開招標","財物類","最低標","28249317","吉程股份有限公司","104臺北市中山區敬業一路139號5樓之7",""
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/02","2025/01/03","M11341Y","游離鈣/血液氣體及一氧化碳分析檢驗試劑含設備3年單價開口合約","臺北榮民總醫院","112臺北市北投區石牌路2段201號","邱幼華","(02)28757244分機","公開招標","財物類","最低標","11077544","威力德生醫股份有限公司 (WeLeader Biomedical Co. , Ltd.)","807高雄市三民區民族一路80號19樓之1、2",""
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/03","2025/01/06","6531300130","所內電纜托架組","台灣電力股份有限公司輸變電工程處","100臺北市中正區牯嶺街73號","邱仕東","(02)23229787分機","公開招標","財物類","最低標","51883020","鋐洲有限公司","505彰化縣鹿港鎮東石里工業東二路18號","長泰興業股份有限公司"
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/03","2025/01/06","GF3-113016","警用防彈頭盔","臺灣銀行股份有限公司","100臺北市中正區武昌街一段45號","開標一科 林先生","(02)23497664分機","公開招標","財物類","最有利標","13337600","萬寶程國際有限公司","712臺南市新化區中山路47號",""
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/03","2025/01/06","tcnr1130218","114-115年度學員實習水電材料年度合約需求採購案","勞動部勞動力發展署中彰投分署","407臺中市西屯區工業區一路100號","徐世洲(需求單位)/林陸嬉(採購單位)","(04)23592181分機1258/1327","公開招標","財物類","最低標","6199106","昱呈興業社","420臺中市豐原區東勢里中興路８１號１樓",""
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/07","2025/01/13","6531300121","電阻式比壓器&電壓平衡電驛","台灣電力股份有限公司輸變電工程處","100臺北市中正區牯嶺街73號","莊家誠","(02)23229816分機","公開招標","財物類","最低標","44625000","冠積企業有限公司","106臺北市大安區和平東路2段34號10樓",""
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/07","2025/01/24","114CCN16","114年度DNA鑑定試劑組","內政部警政署刑事警察局","110臺北市信義區北市忠孝東路四段五五三巷五號","陳俊年","(02)27650431分機3146","公開招標","財物類","最低標","26850000","萊富生命科技股份有限公司","115臺北市南港區忠孝東路7段508號4樓之1",""
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/07","2025/01/09","1130763Y","心臟內科4項醫材單價開口契約","臺北榮民總醫院","112臺北市北投區石牌路2段201號","邱幼華","(02)28757244分機","公開招標","財物類","最低標","52028487","裕利股份有限公司","105臺北市松山區南京東路4段126號10樓、10樓之1至之3",""
"award_20250101.xml","2025/01/01","2025/01/15","2025/01/07","2025/01/15","114-4-1005","114年租用網際網路固接專線(含DDos)及共用光纖網路第1線路8年","中華郵政股份有限公司","106臺北市大安區金山南路2段55號","陳韋翰","(02)23921310分機2310","公開招標","財物類","最低標","22367808","遠傳電信股份有限公司系統整合分公司","114臺北市內湖區瑞光路468號5樓","中華電信股份有限公司企業客戶分公司"
