TenderName,TenderOrgName,BidderSuppName,NotObtainSuppName,TenderAwardPrice,Count
「110年度網路及電腦設備委外管理維護」聯合採購案,臺北市政府都市發展局,威策電腦股份有限公司,,4880000,1
「110年運用租屋網路媒體平臺加強行銷社會住宅包租代管網路曝光」委託專業服務案,內政部營建署,數字廣告股份有限公司,,19420000,1
「110年網路駭侵鑑識分析調查平臺設備擴充及延長授權」採購案,法務部調查局,凌群電腦股份有限公司,,10800000,1
「110年網路鑑識與網路安全監控系統擴充」採購案,法務部調查局,中華電信股份有限公司企業客戶分公司,,5900000,1
「111年歐亞國際網路專線服務」採購案,中央研究院,中華電信股份有限公司企業客戶分公司,,47000000,1
「111年整體網路與站點管理維運案」,經濟部,永磐科技股份有限公司,,10780000,1
「亞洲‧矽谷-5G開放網路整合驗證暨推廣計畫」委託辦理案,國家發展委員會,中華電信股份有限公司企業客戶分公司,財團法人電信技術中心,97500000,1
110~114年度「核心網路交換器暨系統主機功能強化資訊服務計畫」,經濟部工業局,新加坡商網達先進科技有限公司台灣分公司,,9600000,1
110-111年度網路資訊安全防護監控服務專案工作計畫,行政院環境保護署,安碁資訊股份有限公司,,16050000,1
110-111年資安防護管理中心暨資安服務管理維護,海洋委員會海巡署,遠傳電信股份有限公司系統整合分公司,安碁資訊股份有限公司,6120000,1
110-112年全局網路擴充及更新案,交通部臺灣鐵路管理局,國眾電腦股份有限公司,,264140100,1
110-119年資安防護系統軟、硬體設備籌建計畫,海洋委員會海巡署,遠傳電信股份有限公司系統整合分公司,,160200000,1
110年「文化數據智能分析與決策輔助計畫之資料儲存設備及儲存區域網路交換器採購案」,文化部,展昇資訊股份有限公司,廣六科技有限公司,5880000,1
110年下半年至111年上半年改善偏遠之隔離檢疫所網路收訊採購案,國家通訊傳播委員會,中華電信股份有限公司企業客戶分公司,,34523160,1
110年伺服器資安紀錄保存與虛擬化儲存設備擴充案,桃園國際機場股份有限公司,華經科技股份有限公司,,8020000,1
110年度高雄市公有路邊停車費以網路或手機代收服務案,高雄市政府交通局,台灣大哥大股份有限公司系統整合分公司,,19530000,1
110年度電腦主機及網路設備採購案,財政部國有財產署,精誠科技整合股份有限公司,,6460000,1
110年度網路平台作業資訊系統新增功能採購案,衛生福利部中央健康保險署,凌群電腦股份有限公司,,5900000,1
110年度網路安全改善主機房伺服器虛擬化執行計畫,經濟部水利署第十河川局,鴻名企業股份有限公司,大塊系統工程股份有限公司,7740000,1
110年度臺北市政府市政資訊網路暨機房設施管理維運整體委託服務案,臺北市政府,宏碁雲架構服務股份有限公司,,28500000,1
110年租用網際網路不同路由固接專線電路5年,中華郵政股份有限公司,中華電信股份有限公司企業客戶分公司,台灣固網股份有限公司,5284000,1
110年租賃愛國大樓暨責任中心局網路設備,中華郵政股份有限公司,駿永資訊科技股份有限公司,,47000000,1
110年財政部財政資訊中心網路資安設備採購案,財政部財政資訊中心,中華電信股份有限公司企業客戶分公司,凌群電腦股份有限公司,126406000,1
110年骨幹及辦公網路改善,桃園國際機場股份有限公司,華電聯網股份有限公司,亞太電信股份有限公司,9900000,1
110年經濟部關鍵基礎設施資安聯防服務專案,經濟部,安碁資訊股份有限公司,,10600000,1
110年資安設備及雲端郵件系統授權更新維護案,行政院農業委員會農糧署,逸盈科技股份有限公司,,9700000,1
110年網路設備租賃案,臺北市政府,東豐科技股份有限公司,宏碁雲架構服務股份有限公司,51796920,1
110年環境用藥管理資訊系統架構重整應用計畫,行政院環境保護署毒物及化學物質局,環化有限公司,,5998000,1
110至111年海巡寬頻網路及電話交換系統保養維護,海洋委員會海巡署,神通資訊科技股份有限公司,,15664088,1
110至111年資料中心基礎設施暨資安維運案,經濟部加工出口區管理處,駿永資訊科技股份有限公司,,79356000,1
111、112年中華郵政臨櫃代收、郵政儲金帳戶約定扣款、語音、網路即時轉帳繳納各項公路監理資費,交通部公路總局,中華郵政股份有限公司,,35070000,1
111~113年度網路防火牆功能強化資訊服務計畫,經濟部工業局,豪勉科技股份有限公司,駿永資訊科技股份有限公司,7645700,1
111-112年網路申辦服務系統維護委外服務採購案,臺北市政府資訊局,昕力資訊股份有限公司,,4972000,1
111年度外國人申審業務系統暨外國人申請案件網路線上申辦系統功能增修及維運案,勞動部勞動力發展署,凌網科技股份有限公司,,16677925,1
111年度第四代M化網路偵查系統維護案,內政部警政署刑事警察局,怡德視訊股份有限公司,,6316800,1
111年度資通安全防護暨網路系統維護服務計畫,經濟部工業局,博鉅資訊股份有限公司,,17700100,1
111年租賃支局網路設備(第1期),中華郵政股份有限公司,駿永資訊科技股份有限公司,,160000000,1
111年租賃核心網路及責任局網路設備,中華郵政股份有限公司,駿永資訊科技股份有限公司,聚誠國際股份有限公司,40450000,1
111年資安暨智慧科技研發大樓機電設備維護,財團法人國家實驗研究院,正霖空調工程有限公司,,6250000,1
111年網路系統軟、硬體設備維護案,交通部臺灣鐵路管理局,以叡科技股份有限公司,紘瑒科技股份有限公司,15316560,1
ISMS維運及資安整備案,行政院農業委員會農糧署,漢昕科技股份有限公司,,4800000,1
大學申請入學介接學習歷程資料庫磁碟陣列及網路設備採購案,國立中正大學,敦陽科技股份有限公司,,35500000,1
