SourceFile,RangeStartDate,RangeEndDate,AwardDate,AwardNoticeDate,TenderCaseNo,TenderName,TenderOrgName,TenderOrgAddr,ContactPerson,TenderTel,ProcurementType,ProcurementAttr,TenderAwardWay,TenderAwardPrice,BidderSuppName,BidderSuppAddr,NotObtainSuppName
award_20210101.xml,2021/01/01,2021/01/15,2021/01/14,2021/02/02,11033002,「110年度網路及電腦設備委外管理維護」聯合採購案,臺北市政府都市發展局,110臺北市信義區巿府路1號9樓,蘇辰福,(02)27208889分機8310,限制性招標(經公開評選或公開徵求),勞務類,準用最有利標,4880000,威策電腦股份有限公司,330桃園市桃園區富國路653-9號,
award_20210102.xml,2021/01/16,2021/01/31,2021/01/18,2021/01/20,CGA110016,110至111年海巡寬頻網路及電話交換系統保養維護,海洋委員會海巡署,116臺北市文山區興隆路三段296號,李銘坤,(02)22399201分機266426,公開招標,勞務類,最有利標,15664088,神通資訊科技股份有限公司,114臺北市內湖區堤頂大道2段187號10樓,
award_20210102.xml,2021/01/16,2021/01/31,2021/01/22,2021/01/28,J1090039765,網路服務防疫系統架構調整精進健保卡身分識別作業開發案,衛生福利部中央健康保險署,106臺北市大安區信義路三段140號,規格宋先生，採購翁小姐,"(02)27065866分機2256,2719",限制性招標(經公開評選或公開徵求),勞務類,準用最有利標,6500000,凌群電腦股份有限公司,108臺北市萬華區峨眉街115號6樓,
award_20210102.xml,2021/01/16,2021/01/31,2021/01/22,2021/01/28,109-2-00122,第一、二航廈系統及網路資源整合案,桃園國際機場股份有限公司,337桃園市大園區航站南路9號,徐小姐,(03)2733699分機,限制性招標(經公開評選或公開徵求),勞務類,準用最有利標,179000000,資拓宏宇國際股份有限公司,220新北市板橋區縣民大道2段7號6樓,亞太電信股份有限公司
award_20210102.xml,2021/01/16,2021/01/31,2021/01/29,2021/02/22,109A-099,「110年運用租屋網路媒體平臺加強行銷社會住宅包租代管網路曝光」委託專業服務案,內政部營建署,105臺北市松山區八德路二段342號,余欣倫87712900/郭宇頻,(02)87712525分機,限制性招標(經公開評選或公開徵求),勞務類,準用最有利標,19420000,數字廣告股份有限公司,241新北市三重區重新路5段609巷12號10樓之10,
award_20210202.xml,2021/02/16,2021/02/28,2021/02/18,2021/02/22,110TC019-1F,網路設備汰換與擴充,臺北榮民總醫院,112臺北市北投區石牌路2段201號,王玫淳,(02)28757245分機,公開招標,財物類,最低標,19541911,永磐科技股份有限公司,114臺北市內湖區瑞光路478巷18弄20號3樓,
award_20210202.xml,2021/02/16,2021/02/28,2021/02/23,2021/03/11,10904802110,經濟部110年資安整合聯防機制服務專案,經濟部,100臺北市中正區福州街15號,林霆,(02)23212200分機8687,限制性招標(經公開評選或公開徵求),勞務類,準用最有利標,23276000,安碁資訊股份有限公司,110臺北市信義區忠孝東路4段563號8樓,
award_20210202.xml,2021/02/16,2021/02/28,2021/02/23,2021/03/11,10904802520,110年經濟部關鍵基礎設施資安聯防服務專案,經濟部,100臺北市中正區福州街15號,康芷維,(02)23212200分機8674,限制性招標(經公開評選或公開徵求),勞務類,準用最有利標,10600000,安碁資訊股份有限公司,110臺北市信義區忠孝東路4段563號8樓,
award_20210301.xml,2021/03/01,2021/03/15,2021/03/11,2021/03/12,CGA110021,資通安全防護監控系統、網路傳輸及終端軟、硬體設施淘汰計畫-110年度伺服器,海洋委員會海巡署,116臺北市文山區興隆路三段296號,劉家欽,(02)22399201分機266423,公開招標,財物類,最低標,8487800,凱穩電腦股份有限公司,235新北市中和區中正路716號17樓之3,伯仲國際股份有限公司
award_20210302.xml,2021/03/16,2021/03/31,2021/03/19,2021/03/22,110-4-1032,110年租賃愛國大樓暨責任中心局網路設備,中華郵政股份有限公司,106臺北市大安區金山南路2段55號,許建成,(02)23921310分機2315,限制性招標(未經公開評選或公開徵求),財物類,最低標,47000000,駿永資訊科技股份有限公司,100臺北市中正區北平東路30號5樓,
